ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
EST,Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,818.44","17,644.04","17,544.54","19,179.84","20,387.09","17,531.06","18,244.65","20,381.01","23,330.28","23,523.60","24,802.77","26,468.05","28,155.78","29,886.74","31,776.20",2018
SWZ,Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,263.91","4,603.20","4,628.25","4,326.00","4,133.03","3,779.60","3,536.60","4,072.02","4,267.11","4,176.75","4,244.99","4,323.05","4,462.83","4,620.46","4,782.51",2017
ETH,Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",360.829,379.381,493.321,535.264,613.101,702.767,777.294,817.49,852.883,953.179,"1,066.20","1,161.57","1,248.69","1,328.18","1,411.77",2016
FJI,Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,005.09","4,790.87","5,017.72","5,268.42","5,611.17","5,362.56","5,614.41","6,071.67","6,208.26","6,379.71","6,737.43","7,129.03","7,543.39","7,989.58","8,453.96",2017
FIN,Finland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","46,388.41","50,971.27","47,554.46","49,765.44","50,087.91","42,576.49","43,574.35","45,948.22","49,737.55","48,868.74","50,774.20","52,865.73","55,016.98","57,145.12","59,480.22",2018
FRA,France,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","42,178.58","45,419.97","42,372.07","44,144.62","44,616.46","37,937.86","38,348.51","40,108.92","42,953.27","41,760.61","42,643.95","44,132.79","45,657.02","47,204.93","48,913.37",2018
GAB,Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,933.31","10,893.46","9,903.41","9,760.75","9,746.79","7,453.11","7,082.22","7,370.20","8,220.40","8,112.32","8,361.04","8,695.66","9,096.93","9,551.61","10,138.15",2004
GMB,The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,712.512,755.046,795.704,826.666,859.43,887.082,912.803,2017
GEO,Georgia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,062.85","3,825.16","4,237.93","4,340.71","4,441.77","3,759.60","3,856.07","4,046.89","4,346.15","4,289.32","4,626.41","5,034.79","5,462.65","5,858.93","6,277.16",2015
DEU,Germany,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","42,379.58","46,697.38","43,883.26","46,299.08","48,035.80","41,159.94","42,115.60","44,333.81","47,662.49","46,563.99","47,992.32","50,149.31","52,164.60","54,248.58","56,527.75",2018
GHA,Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,745.54","2,123.65","2,184.39","2,389.77","1,962.66","1,753.85","1,941.46","2,037.95","2,216.84","2,223.42","2,266.41","2,385.78","2,472.87","2,574.20","2,681.52",0
